id,text,word_count,dialect,source
SASAK_SENT_000123,beterus Ie mulai bebaos dait ngajah ie pade:,8,general,alkitab_sasak_Mat_5_2
SASAK_SENT_000124,Bahagie dengan saq miskin leq arepan Allah; sengaq ie pade saq doweang Kerajaan Sorge!,14,general,alkitab_sasak_Mat_5_3
SASAK_SENT_000125,Bahagie dengan saq sedih angenne; sengaq ie pade gen tehibur.,10,general,alkitab_sasak_Mat_5_4
SASAK_SENT_000126,Bahagie dengan saq lemah lembut; sengaq ie pade gen doweang gumi!,11,general,alkitab_sasak_Mat_5_5
SASAK_SENT_000127,Bahagie dengan saq tetu-tetu melet ngelaksaneang kebenaran; sengaq ie pade gen tepuasang!,12,general,alkitab_sasak_Mat_5_6
SASAK_SENT_000128,Bahagie dengan saq murah ate; sengaq ie pade gen nerimaq kemurahan!,11,general,alkitab_sasak_Mat_5_7
SASAK_SENT_000129,Bahagie dengan saq suci atene; sengaq ie pade gen serioq Allah.,11,general,alkitab_sasak_Mat_5_8
SASAK_SENT_000130,Bahagie dengan saq jauq dame; sengaq ie pade gen tesebut bije-bije dowen Allah!,13,general,alkitab_sasak_Mat_5_9
SASAK_SENT_000131,"Bahagie dengan saq teaniaye lantaran kebenaran, sengaq ie pade saq doweang Kerajaan Sorge!",13,general,alkitab_sasak_Mat_5_10
SASAK_SENT_000132,"Bahagie side pade, lamun lantaran Tiang side pade tecele dait teaniaye, dait tepitnah.",13,general,alkitab_sasak_Mat_5_11
SASAK_SENT_000133,"Besukecite dait gembire, sengaq upaqde beleq leq sorge, sengaq maraq nike endah sampun teaniaye nabi-nabi saq sendeqman side.""",18,general,alkitab_sasak_Mat_5_12
SASAK_SENT_000134,Side pade sie dunie.,4,general,alkitab_sasak_Mat_5_13
SASAK_SENT_000135,"Lamun sie jari tawah, napi bau ie tepaeqang malik?",9,general,alkitab_sasak_Mat_5_13
SASAK_SENT_000136,"Ndeq araq manpaatne malik, ie gen teteteh dait teicaq-icaq siq dengan.",11,general,alkitab_sasak_Mat_5_13
SASAK_SENT_000137,Side pade terang dunie.,4,general,alkitab_sasak_Mat_5_14
SASAK_SENT_000138,"Kote saq araq leq atas bukit, ndeq bau teseboq.",9,general,alkitab_sasak_Mat_5_14
SASAK_SENT_000139,"Ndeq araq dengan saq nyalaqang dilah, terus kudungne dilah nike siq tepaq.",12,general,alkitab_sasak_Mat_5_15
