word,lemma,pos,dialect,meaning_id,meaning_2,example,source
aip; cela,aip,,Sasak Umum,Ar aib; cela,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiq,aiq,,Sasak Umum,air,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiq (be)bancah,aiq bancah,,Sasak Umum,air mayat (pada orang Bali yang akan diaben),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiq aki,aiq aki,,Sasak Umum,air aki,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiq anget,aiq anget,,Sasak Umum,air yg sudah direbus/dimasak (untuk minum),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiq atas,aiq atas,,Sasak Umum,sawah tadah hujan,air tadah hujan,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiq bangkal,aiq bangkal,,Sasak Umum,air mendidih,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiq bawaq,aiq bawaq,,Sasak Umum,sawah irigasi,air sawah (dari irigasi teknis),,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiq beriq,aiq beriq,,Sasak Umum,nama desa di Bayan,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiq budaq,aiq budaq,,Sasak Umum,air nasi (yang sedang dimasak),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiq buraq,aiq buraq,,Sasak Umum,air nasi (yang sedang dimasak),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiq dareq,aiq dareq,,Sasak Umum,nama desa,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiq empaq,aiq empaq,,Sasak Umum,air/kuah gulai,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiq enggeran,aiq enggeran,,Sasak Umum,air minum,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiq inem,aiq inem,,Sasak Umum,air minum,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiq kelak,aiq kelak,,Sasak Umum,air panas (dari mata air),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiq kelaq,aiq kelaq,,Sasak Umum,air yg sudah direbus/dimasak,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiq kokoh,aiq kokoh,,Sasak Umum,air sungai,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiq kum-kuman,aiq kum-kuman,,Sasak Umum,air bunga rampai (untuk uacara adat),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiq ledeng,aiq ledeng,,Sasak Umum,air dr perusahaan air minum,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiq mate,aiq mate,,Sasak Umum,air yg sudah direbus/dimasak,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiq mel,aiq mel,,Sasak Umum,air penyejuk (untuk obat),,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
aiq nao,aiq nao,,Sasak Umum,air tuak,,,Balai Bahasa Provinsi NTB (Kamus Terpadu Sasambo)
